opcode         name                       target                     args                                                                                                                                                        kwargs
-------------  -------------------------  -------------------------  ----------------------------------------------------------------------------------------------------------------------------------------------------------  -----------------
placeholder    x                          x                          ()                                                                                                                                                          {}
call_module    conv_stem                  conv_stem                  (x,)                                                                                                                                                        {}
call_module    bn1                        bn1                        (conv_stem,)                                                                                                                                                {}
call_module    act1                       act1                       (bn1,)                                                                                                                                                      {}
call_module    blocks_0_0_conv_dw         blocks.0.0.conv_dw         (act1,)                                                                                                                                                     {}
call_module    blocks_0_0_bn1             blocks.0.0.bn1             (blocks_0_0_conv_dw,)                                                                                                                                       {}
call_module    blocks_0_0_act1            blocks.0.0.act1            (blocks_0_0_bn1,)                                                                                                                                           {}
call_method    mean                       mean                       (blocks_0_0_act1, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_0_0_se_conv_reduce  blocks.0.0.se.conv_reduce  (mean,)                                                                                                                                                     {}
call_module    blocks_0_0_se_act1         blocks.0.0.se.act1         (blocks_0_0_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_0_0_se_conv_expand  blocks.0.0.se.conv_expand  (blocks_0_0_se_act1,)                                                                                                                                       {}
call_module    blocks_0_0_se_gate         blocks.0.0.se.gate         (blocks_0_0_se_conv_expand,)                                                                                                                                {}
call_function  mul                        <built-in function mul>    (blocks_0_0_act1, blocks_0_0_se_gate)                                                                                                                       {}
call_module    blocks_0_0_conv_pw         blocks.0.0.conv_pw         (mul,)                                                                                                                                                      {}
call_module    blocks_0_0_bn2             blocks.0.0.bn2             (blocks_0_0_conv_pw,)                                                                                                                                       {}
call_module    blocks_0_0_act2            blocks.0.0.act2            (blocks_0_0_bn2,)                                                                                                                                           {}
call_module    blocks_0_1_conv_dw         blocks.0.1.conv_dw         (blocks_0_0_act2,)                                                                                                                                          {}
call_module    blocks_0_1_bn1             blocks.0.1.bn1             (blocks_0_1_conv_dw,)                                                                                                                                       {}
call_module    blocks_0_1_act1            blocks.0.1.act1            (blocks_0_1_bn1,)                                                                                                                                           {}
call_method    mean_1                     mean                       (blocks_0_1_act1, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_0_1_se_conv_reduce  blocks.0.1.se.conv_reduce  (mean_1,)                                                                                                                                                   {}
call_module    blocks_0_1_se_act1         blocks.0.1.se.act1         (blocks_0_1_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_0_1_se_conv_expand  blocks.0.1.se.conv_expand  (blocks_0_1_se_act1,)                                                                                                                                       {}
call_module    blocks_0_1_se_gate         blocks.0.1.se.gate         (blocks_0_1_se_conv_expand,)                                                                                                                                {}
call_function  mul_1                      <built-in function mul>    (blocks_0_1_act1, blocks_0_1_se_gate)                                                                                                                       {}
